Unnamed: 0,Country,YearMonth,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10,Query11,Query12,Query13,Query14,Query15,Query16,Query17,Query18,Query19,Query20,Query21,Query22,Query23,Query24,Query25,Query26,Query27,Query28,Query29,Query30,Query31,Query32,Query33,Query34,Query35,Query36,Query37,Query38,Query39,Query40
688,NG,2022-03-01,feminism meaning,lesbian feminism,feminist meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,intersectional feminism,feminist definition,sex positive feminism,radical feminism,anti feminism,shailene woodley,intersectional feminism,feminism meaning,feminist theory,intersectional feminism,anti feminism,feminism is for everybody,full frontal feminism,,,,,,,,,,,,,,,,,,,,
689,NG,2022-03-01,feminism meaning,lesbian feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,intersectional feminism,feminism definition,sex positive feminism,radical feminism,everyday feminism,radical feminism,intersectional feminism,women against feminism,bell hooks,feminist theory,anti feminism,quotes about feminism,sex positive feminism,,,,,,,,,,,,,,,,,,,,
690,NG,2022-04-01,feminism meaning,lesbian feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,intersectional feminism,feminist definition,sex positive feminism,radical feminism,everyday feminism,radical feminism,intersectional feminism,women against feminism,bell hooks,feminist theory,how feminism hurts men,anti feminism,sex positive feminism,,,,,,,,,,,,,,,,,,,,
691,NG,2022-04-01,feminism meaning,first wave feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,beyonce feminism,feminism definition,sex positive feminism,radical feminism,everyday feminism,radical feminism,intersectional feminism,women against feminism,sexism,feminist theory,mra,anti feminism,marxist feminism,,,,,,,,,,,,,,,,,,,,
692,NG,2022-04-01,feminism meaning,first wave feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,beyonce feminism,feminism definition,sex positive feminism,radical feminism,everyday feminism,radical feminism,first wave feminism,women against feminism,feminism is for everybody,shailene woodley,ladies against feminism,anti feminism,marxist feminism,marxist feminism,,,,,,,,,,,,,,,,,,,
693,NG,2022-04-01,feminism meaning,letsbuy,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,shailene woodley,intersectional feminism,sex positive feminism,radical feminism,everyday feminism,radical feminism,first wave feminism,women against feminism,feminism is for everybody,anti feminism,black feminism,anti feminism,marxist feminism,marxist feminism,,,,,,,,,,,,,,,,,,,
694,NG,2022-05-01,feminism meaning,feminism in india,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,shailene woodley feminism,intersectional feminism,sex positive feminism,radical feminism,feminist movement,radical feminism,first wave feminism,history of feminism,first wave feminism,feminism today,black feminism,feminist theory,opposite of feminism,marxist feminism,,,,,,,,,,,,,,,,,,,
695,NG,2022-05-01,feminism meaning,feminism in india,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,shailene woodley feminism,intersectional feminism,marxist feminism,emma watson speech,lily allen feminism,radical feminism,first wave feminism,history of feminism,first wave feminism,second wave feminism,intersectional feminism,feminist theory,opposite of feminism,margaret thatcher feminism,,,,,,,,,,,,,,,,,,,
696,NG,2022-05-01,feminism meaning,feminism in india,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,confused cats against feminism,intersectional feminism,marxist feminism,emma watson feminism,confused cats against feminism,radical feminism,first wave feminism,history of feminism,first wave feminism,second wave feminism,intersectional feminism,feminist theory,what is the opposite of feminism,feminism in the 1960s,,,,,,,,,,,,,,,,,,,
697,NG,2022-05-01,feminism meaning,feminism in india,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,emma watson feminism speech,intersectional feminism,marxist feminism,emma watson feminism,shailene woodley feminism,radical feminism,first wave feminism,history of feminism,first wave feminism,second wave feminism,intersectional feminism,why feminism is stupid,opposite of feminism,feminism in the 1960s,,,,,,,,,,,,,,,,,,,
698,NG,2022-06-01,feminism meaning,feminism in india,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,emma watson feminism,intersectional feminism,marxist feminism,emma watson feminism,intersectional feminism,beyonce feminism,first wave feminism,history of feminism,first wave feminism,second wave feminism,intersectional feminism,first wave feminism,what is the meaning of feminism,intersectional feminism,,,,,,,,,,,,,,,,,,,
699,NG,2022-06-01,feminism meaning,love joy feminism,feminism meaning,intersectional feminism,intersectional feminism,intersectional feminism,marxist feminism,emma watson feminism,intersectional feminism,marxist feminism,everyday feminism,intersectional feminism,beyonce feminism,first wave feminism,history of feminism,first wave feminism,second wave feminism,third wave feminism,first wave feminism,meaning of feminism in hindi,intersectional feminism,,,,,,,,,,,,,,,,,,,
700,NG,2022-06-01,feminism meaning,sex positive feminism,feminist meaning,intersectional feminism,intersectional feminism,intersectional feminism,feminist meaning,emma watson feminism,intersectional feminism,marxist feminism,everyday feminism,intersectional feminism,robert downey jr feminism,first wave feminism,patriarchy,first wave feminism,history of feminism,third wave feminism,first wave feminism,feminism meaning in telugu,feminist movement,,,,,,,,,,,,,,,,,,,
